str_id,severity_id,wwacbd,wwacbh,wwacc,wwach,wwafuel13,wwafuel40
3708,7652,8,13,45,57,10,165
3709,7655,16,20,65,57,10,165
3710,7660,11,13,55,57,10,165
3711,7664,1,144,55,25,6,147
3712,7666,11,7,55,57,10,165
3713,7668,1,263,45,57,8,161
3714,7670,6,39,35,57,10,165
3715,7671,6,20,35,57,10,165
3716,7673,11,13,55,57,10,165
3717,7677,1,144,45,25,6,147
3718,7679,27,13,35,25,5,145
3719,7681,19,13,25,8,2,122
3720,7683,8,20,45,57,8,183
3721,7687,1,263,15,57,5,142
3722,7688,11,13,55,57,10,165
3723,7690,19,13,25,25,5,142
3724,7691,19,13,25,25,2,122
3725,7694,19,13,25,8,2,122
3726,7695,1,263,35,57,2,121
3727,7699,19,13,25,25,2,122
3728,7701,27,13,35,25,5,145
3729,7702,38,13,45,25,8,183
3730,7704,1,144,45,25,6,147
3731,7707,8,13,45,57,10,165
3732,7710,19,13,25,25,2,122
3733,7711,19,13,25,25,2,122
3734,7713,19,13,25,25,2,122
3735,7714,1,263,35,57,2,121
3736,7716,1,144,35,25,2,122
3737,7720,14,13,15,25,1,101
3738,7722,1,144,35,25,2,121
3739,7723,27,13,35,8,2,121
3740,7725,8,13,45,57,10,165
3741,7727,11,13,55,57,10,165
3742,7730,8,13,45,57,8,161
3743,7733,1,144,35,25,2,122
3744,7735,1,263,25,57,2,121
3745,7736,38,13,45,25,8,183
3746,7737,14,13,15,25,1,101
3747,7741,1,144,45,25,6,147
3748,7744,1,263,55,57,8,161
3749,7746,27,13,35,25,5,145
3750,7747,11,20,55,57,10,165
3751,7748,6,20,35,57,8,161
3752,7751,1,263,65,57,8,161
3753,7753,38,13,45,25,8,183
3754,7754,19,13,25,8,2,122
3755,7759,1,144,55,25,6,147
3756,7761,8,20,45,57,8,183
3757,7762,8,13,45,57,8,183
3758,7763,27,13,35,8,5,145
3759,7765,8,16,45,57,8,183
3760,7767,8,13,45,57,8,161
3761,7768,19,13,25,25,2,121
3762,7772,14,13,15,8,2,122
3763,7773,8,7,45,57,10,165
3764,7777,1,144,35,25,2,122
3765,7778,16,13,65,57,10,165
3766,7780,19,13,25,25,2,122
3767,7783,1,144,45,25,6,147
3768,7784,8,20,45,57,8,183
3769,7786,1,263,55,57,8,161
3770,7787,1,263,45,57,8,161
3771,7789,6,7,35,57,8,183
3772,7793,11,20,55,57,10,165
3773,7795,11,7,55,57,10,165
3774,7798,6,13,35,57,5,122
3775,7802,1,263,75,57,8,161
3776,7804,27,13,35,25,5,145
3777,7805,19,13,25,25,2,122
3778,7806,8,13,45,57,8,161
3779,7807,1,263,55,57,8,161
3780,7809,11,43,55,57,9,188
3781,7810,8,13,45,57,10,165
3782,7812,1,144,55,25,6,147
3783,7814,1,144,35,25,2,122
3784,7815,38,13,45,25,8,183
3785,7817,8,13,45,57,8,161
3786,7818,16,7,65,57,10,165
3787,7819,1,144,45,25,6,147
3788,7821,19,13,25,25,2,122
3789,7823,19,13,25,25,2,122
3790,7824,6,7,35,57,8,183
3791,7825,27,13,35,25,5,145
3792,7828,8,43,45,57,9,188
3793,7829,1,263,45,57,8,161
3794,7830,8,13,45,57,10,165
3795,7831,14,13,15,25,1,101
3796,7832,19,13,25,8,2,122
3797,7833,11,13,55,57,10,165
3798,7834,11,20,55,57,10,165
3799,7836,19,13,25,25,2,122
3800,7837,19,13,25,8,2,122
3801,7838,11,13,55,57,10,165
3802,7840,8,43,45,57,9,188
3803,7841,1,263,55,57,8,161
3804,7844,8,13,45,57,8,161
3805,7845,19,13,25,25,2,122
3806,7850,38,13,45,25,8,183
3807,7851,1,263,45,57,8,161
3808,7855,8,13,45,57,8,161
3809,7857,38,13,45,25,8,183
3810,7859,8,13,45,57,8,161
3811,7860,1,263,55,57,8,161
3812,7863,1,144,45,25,6,147
3813,7864,19,13,25,25,2,122
3814,7865,8,43,45,57,9,188
3815,7868,1,144,35,25,2,122
3816,7869,11,13,55,57,10,165
3817,7871,6,13,35,57,5,122
3818,7872,4,7,25,57,8,183
3819,7873,1,144,45,25,6,147
3820,7877,19,13,25,8,2,122
3821,7878,27,13,35,25,5,145
3822,7879,27,13,35,25,5,145
3823,7881,4,16,25,57,8,183
3824,7882,8,20,45,57,8,183
3825,7884,14,13,15,8,2,122
3826,7885,8,20,45,57,8,183
3827,7886,11,7,55,57,10,165
3828,7887,6,43,35,57,9,188
3829,7889,19,13,25,25,2,122
3830,7892,1,263,65,57,8,161
3831,7893,8,13,45,57,8,161
3832,7896,22,13,75,57,10,165
3833,7898,38,13,45,25,8,183
3834,7899,19,13,25,25,2,122
3835,7901,27,13,35,25,5,145
3836,7905,1,144,45,25,6,147
3837,7907,27,13,35,25,5,145
3838,7909,8,20,45,57,8,183
3839,7911,1,144,25,25,6,147
