forest_topo_id,severity_id,asp,dem,slope
39850,82453,East,2770,22
39851,82454,South,2584,22
39852,82455,West,1833,0
39853,82458,North,2104,32
39854,82459,North,2575,44
39855,82468,West,2583,64
39856,82469,West,2184,32
39857,82470,East,2844,90
39858,82471,East,2995,22
39859,82474,East,2824,0
39860,82477,North,2331,44
39861,82478,East,2652,90
39862,82479,East,2595,22
39863,82480,West,2888,32
39864,82482,West,2934,32
39865,82484,East,2426,44
39866,82485,South,1900,32
39867,82486,East,2137,64
39868,82488,West,2763,44
39869,82489,North,2764,22
39870,82491,South,2179,32
39871,82492,West,2374,64
39872,82493,West,1922,44
39873,82494,South,2551,32
39874,82495,South,1927,44
39875,82497,East,2391,0
39876,82498,East,2147,32
39877,82500,East,2332,32
39878,82502,North,2107,64
39879,82504,North,2537,44
39880,82505,North,2646,22
39881,82506,West,2886,0
39882,82507,South,2812,90
39883,82508,North,2678,32
39884,82514,North,2333,64
39885,82519,East,2404,32
39886,82521,East,2289,90
39887,82524,West,2075,64
39888,82525,North,2683,22
39889,82526,East,1997,22
39890,82527,West,2105,32
39891,82531,West,2489,32
39892,82533,North,2888,64
39893,82535,South,2231,22
39894,82541,North,2782,90
39895,82543,East,2479,32
39896,82544,West,2100,32
39897,82547,East,2434,0
39898,82551,South,3133,22
39899,82556,West,2233,22
39900,82558,West,2213,90
39901,82560,North,1902,44
39902,82562,West,2581,64
39903,82563,West,1895,32
39904,82564,West,2789,64
39905,82566,West,3031,32
39906,82567,West,1670,22
39907,82568,North,1601,44
39908,82569,North,2354,32
39909,82571,North,2624,32
39910,82572,North,2059,22
39911,82574,East,2636,32
39912,82575,West,1624,0
39913,82576,South,1867,32
39914,82584,West,2302,32
39915,82589,North,1849,32
39916,82590,West,1970,0
39917,82591,West,2279,64
39918,82592,East,2891,64
39919,82593,East,2325,44
39920,82594,East,2501,64
39921,82597,South,1783,22
39922,82601,North,2454,64
39923,82602,West,2115,64
39924,82604,East,2387,44
39925,82607,South,2395,44
39926,82613,East,2870,64
39927,82614,North,1804,32
39928,82615,East,2061,0
39929,82617,North,1662,32
39930,82620,North,2766,22
39931,82625,South,2311,0
